"Town","FIPS","Year","Age Range","Measure Type","Variable","Value"
"Ashford","0901501430",2014,"18 to 24 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"21 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"Total","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"Total","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"10 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"18 to 24 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2015,"21 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2015,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2015,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Avon","0900302060",2010,"Total","Number","Liquor Law Arrests",15
"Avon","0900302060",2010,"Total","Rate (per 10,000)","Liquor Law Arrests",8.49
"Avon","0900302060",2010,"Total","Rate (per 10,000)","Margins of Error",0.01
"Avon","0900302060",2010,"10 years and over","Number","Liquor Law Arrests",15
"Avon","0900302060",2010,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",9.7
"Avon","0900302060",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0.41
"Avon","0900302060",2010,"10 to 17 years","Number","Liquor Law Arrests",5
"Avon","0900302060",2010,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",19.78
"Avon","0900302060",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",2.06
"Avon","0900302060",2010,"10 to 20 years","Number","Liquor Law Arrests",14
"Avon","0900302060",2010,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",48.71
