"Town","FIPS","Year","Age Range","Measure Type","Variable","Value"
"Andover","0901301080",2010,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2010,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2010,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2011,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2011,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2012,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2012,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2013,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2013,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2014,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2014,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"Total","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"Total","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"10 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"10 to 17 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"10 to 20 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"18 to 24 years","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"21 years and over","Number","Liquor Law Arrests",0
"Andover","0901301080",2015,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Andover","0901301080",2015,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2010,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2010,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2011,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2012,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2013,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2014,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"Total","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"10 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"10 to 17 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"10 to 20 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"18 to 24 years","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"21 years and over","Number","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ansonia","0900901220",2015,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"Total","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"10 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"18 to 24 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"21 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2010,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2010,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"Total","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"Total","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"10 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"18 to 24 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2011,"21 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2011,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2011,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"Total","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"Total","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"10 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"18 to 24 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"21 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2012,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2012,"21 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2013,"Total","Number","Liquor Law Arrests",1
"Ashford","0901501430",2013,"Total","Rate (per 10,000)","Liquor Law Arrests",2.33
"Ashford","0901501430",2013,"Total","Rate (per 10,000)","Margins of Error",0.01
"Ashford","0901501430",2013,"10 years and over","Number","Liquor Law Arrests",1
"Ashford","0901501430",2013,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",2.57
"Ashford","0901501430",2013,"10 years and over","Rate (per 10,000)","Margins of Error",0.22
"Ashford","0901501430",2013,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2013,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2013,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2013,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2013,"18 to 24 years","Number","Liquor Law Arrests",1
"Ashford","0901501430",2013,"18 to 24 years","Rate (per 10,000)","Liquor Law Arrests",24.39
"Ashford","0901501430",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",6.87
"Ashford","0901501430",2013,"21 years and over","Number","Liquor Law Arrests",1
"Ashford","0901501430",2013,"21 years and over","Rate (per 10,000)","Liquor Law Arrests",3.11
"Ashford","0901501430",2013,"21 years and over","Rate (per 10,000)","Margins of Error",0.29
"Ashford","0901501430",2014,"Total","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"Total","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"Total","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"10 years and over","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 years and over","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 years and over","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"10 to 17 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 to 17 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"10 to 20 years","Number","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 to 20 years","Rate (per 10,000)","Liquor Law Arrests",0
"Ashford","0901501430",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
