"FIPS","Year","Age Range","Pop","MOE"
"09",2010,"10 to 17 years",396592,2298.1845008615
"09",2010,"10 to 20 years",545609,2759.23177714378
"09",2010,"10 years and over",3114906,7005.12255424557
"09",2010,"18 to 24 years",320031,2916.47835582574
"09",2010,"21 years and over",2569297,6438.81836985638
"09",2010,"Total",3545837,0
"0900104720",2010,"10 to 17 years",1894,263.747985774299
"0900104720",2010,"10 to 20 years",2376,287.2977549512
"0900104720",2010,"10 years and over",15933,858.307637155816
"0900104720",2010,"18 to 24 years",1247,208.640839722237
"0900104720",2010,"21 years and over",13557,808.796636986084
"0900104720",2010,"Total",18377,27
"0900108070",2010,"10 to 17 years",16785,777.830958499339
"0900108070",2010,"10 to 20 years",24533,993.321196793867
"0900108070",2010,"10 years and over",122239,2293.56948880996
"0900108070",2010,"18 to 24 years",17447,1028.46876471772
"0900108070",2010,"21 years and over",97706,2067.31081359335
"0900108070",2010,"Total",142576,45
"0900108980",2010,"10 to 17 years",2196,279.919631322992
"0900108980",2010,"10 to 20 years",2892,334.234947305036
"0900108980",2010,"10 years and over",14383,715.552933052475
"0900108980",2010,"18 to 24 years",1341,246
"0900108980",2010,"21 years and over",11491,632.69502922024
"0900108980",2010,"Total",16214,25
"0900118500",2010,"10 to 17 years",7009,602.665744837053
"0900118500",2010,"10 to 20 years",10068,735.592278371653
"0900118500",2010,"10 years and over",68929,1771.69692667792
"0900118500",2010,"18 to 24 years",7546,663.795149123583
"0900118500",2010,"21 years and over",58861,1611.77355729643
"0900118500",2010,"Total",79371,40
"0900118850",2010,"10 to 17 years",3628,319.778048027065
"0900118850",2010,"10 to 20 years",4048,340.141147172758
"0900118850",2010,"10 years and over",16594,658.006838870235
"0900118850",2010,"18 to 24 years",668,148.266651678656
"0900118850",2010,"21 years and over",12546,563.273468219479
"0900118850",2010,"Total",20414,37
"0900123890",2010,"10 to 17 years",1146,194.532773588411
"0900123890",2010,"10 to 20 years",1333,205.009755865422
"0900123890",2010,"10 years and over",6322,412.430600222631
"0900123890",2010,"18 to 24 years",404,99.5540054442814
"0900123890",2010,"21 years and over",4989,357.86869100272
"0900123890",2010,"Total",7403,23
"0900126620",2010,"10 to 17 years",6689,483.580396625008
"0900126620",2010,"10 to 20 years",12701,870.337290939553
"0900126620",2010,"10 years and over",50753,1354.24222353315
"0900126620",2010,"18 to 24 years",8015,782.592486547117
"0900126620",2010,"21 years and over",38052,1037.53795111311
"0900126620",2010,"Total",58727,41
"0900133620",2010,"10 to 17 years",8185,509.872533090379
"0900133620",2010,"10 to 20 years",9354,554.219270686251
"0900133620",2010,"10 years and over",52324,1304.04831198848
"0900133620",2010,"18 to 24 years",2545,338.187817639843
"0900133620",2010,"21 years and over",42970,1180.4164519355
"0900133620",2010,"Total",60809,61
"0900148620",2010,"10 to 17 years",2635,306.677354886206
"0900148620",2010,"10 to 20 years",3095,339.076687491193
"0900148620",2010,"10 years and over",16761,809.0803421169
"0900148620",2010,"18 to 24 years",995,222.081066279861
"0900148620",2010,"21 years and over",13666,734.6005717395
"0900148620",2010,"Total",19316,29
"0900150580",2010,"10 to 17 years",3379,373.285413591263
"0900150580",2010,"10 to 20 years",3737,391.259504676883
"0900150580",2010,"10 years and over",16515,768.712560063903
"0900150580",2010,"18 to 24 years",587,143.516549568334
"0900150580",2010,"21 years and over",12778,661.691015504971
"0900150580",2010,"Total",19564,36
"0900150860",2010,"10 to 17 years",1956,254.911749434976
"0900150860",2010,"10 to 20 years",2360,280.001785708591
"0900150860",2010,"10 years and over",11911,591.187787424605
"0900150860",2010,"18 to 24 years",841,164.590400692142
"0900150860",2010,"21 years and over",9551,520.674562466806
"0900150860",2010,"Total",13800,30
"0900152980",2010,"10 to 17 years",4178,315.800569980486
"0900152980",2010,"10 to 20 years",5187,371.082201136083
"0900152980",2010,"10 years and over",23696,791.327365885953
"0900152980",2010,"18 to 24 years",1817,246.767096672146
"0900152980",2010,"21 years and over",18509,698.925604052391
"0900152980",2010,"Total",26957,35
"0900156060",2010,"10 to 17 years",7661,608.185826865441
"0900156060",2010,"10 to 20 years",9513,682.726885364858
"0900156060",2010,"10 years and over",74330,1749.35302326317
"0900156060",2010,"18 to 24 years",5467,509.83919033358
"0900156060",2010,"21 years and over",64817,1610.62720702216
"0900156060",2010,"Total",84611,43
"0900163480",2010,"10 to 17 years",1221,188.260457876847
"0900163480",2010,"10 to 20 years",1513,214.941852602047
"0900163480",2010,"10 years and over",7801,513.268935354557
"0900163480",2010,"18 to 24 years",434,175.76120163449
"0900163480",2010,"21 years and over",6288,466.095483779879
"0900163480",2010,"Total",8945,22
"0900163970",2010,"10 to 17 years",3940,344.891287219611
"0900163970",2010,"10 to 20 years",4389,362.950409835834
"0900163970",2010,"10 years and over",20840,753.033863780375
"0900163970",2010,"18 to 24 years",1115,174.347354439349
"0900163970",2010,"21 years and over",16451,659.79314940366
"0900163970",2010,"Total",24299,43
"0900168170",2010,"10 to 17 years",4327,414.901193056853
"0900168170",2010,"10 to 20 years",5248,458.991285320321
"0900168170",2010,"10 years and over",34952,1108.90937411495
"0900168170",2010,"18 to 24 years",2454,365.332725060321
"0900168170",2010,"21 years and over",29704,1009.45876587407
"0900168170",2010,"Total",39061,24
"0900168310",2010,"10 to 17 years",438,113.459243783836
"0900168310",2010,"10 to 20 years",499,171.781838388114
"0900168310",2010,"10 years and over",3102,351.249199287344
"0900168310",2010,"18 to 24 years",124,182.074160714803
"0900168310",2010,"21 years and over",2603,306.37721847422
"0900168310",2010,"Total",3604,14
"0900173070",2010,"10 to 17 years",11173,684.331790873404
"0900173070",2010,"10 to 20 years",14114,811.460411850141
"0900173070",2010,"10 years and over",105793,2148.38078561506
"0900173070",2010,"18 to 24 years",9208,734.584916806764
"0900173070",2010,"21 years and over",91679,1989.23905049142
"0900173070",2010,"Total",120907,42
"0900174190",2010,"10 to 17 years",5432,446.838897143031
"0900174190",2010,"10 to 20 years",7000,520.507444711408
"0900174190",2010,"10 years and over",44867,1283.82397547327
"0900174190",2010,"18 to 24 years",3924,469.869130716203
"0900174190",2010,"21 years and over",37867,1173.57402834248
"0900174190",2010,"Total",50821,32
"0900177200",2010,"10 to 17 years",4619,397.404076476324
"0900177200",2010,"10 to 20 years",5363,426.280424134161
"0900177200",2010,"10 years and over",30962,1048.17031058889
"0900177200",2010,"18 to 24 years",1899,256.255731643216
"0900177200",2010,"21 years and over",25599,957.572973720541
"0900177200",2010,"Total",35495,41
"0900183430",2010,"10 to 17 years",1836,238.581223066695
"0900183430",2010,"10 to 20 years",2191,267.308810180286
"0900183430",2010,"10 years and over",8560,482.691412809468
"0900183430",2010,"18 to 24 years",484,131.434394280949
"0900183430",2010,"21 years and over",6369,401.916658027507
"0900183430",2010,"Total",10088,22
"0900183500",2010,"10 to 17 years",3831,367.79749863206
"0900183500",2010,"10 to 20 years",4325,389.150356546155
"0900183500",2010,"10 years and over",22025,826.506503301698
"0900183500",2010,"18 to 24 years",888,173.127120925637
"0900183500",2010,"21 years and over",17700,729.160476164198
"0900183500",2010,"Total",26109,27
"0900186370",2010,"10 to 17 years",2840,288.123237521724
"0900186370",2010,"10 to 20 years",3163,305.348980676209
"0900186370",2010,"10 years and over",14916,633.585826861681
"0900186370",2010,"18 to 24 years",713,149.295009963495
"0900186370",2010,"21 years and over",11753,555.151330719832
"0900186370",2010,"Total",17874,26
"0900302060",2010,"10 to 17 years",2528,263.30590574463
"0900302060",2010,"10 to 20 years",2874,286.853621207751
"0900302060",2010,"10 years and over",15460,654.384443580377
"0900302060",2010,"18 to 24 years",778,167.242339136954
"0900302060",2010,"21 years and over",12586,588.16154243541
"0900302060",2010,"Total",17678,25
"0900304300",2010,"10 to 17 years",2481,330.699259146434
"0900304300",2010,"10 to 20 years",2927,353.486916306672
"0900304300",2010,"10 years and over",17613,786.971409900004
"0900304300",2010,"18 to 24 years",1233,216.859401456335
"0900304300",2010,"21 years and over",14686,703.11521104297
"0900304300",2010,"Total",19591,45
"0900305910",2010,"10 to 17 years",2026,312.848206004126
"0900305910",2010,"10 to 20 years",2949,440.085219020135
"0900305910",2010,"10 years and over",18887,893.36386763737
"0900305910",2010,"18 to 24 years",1803,388.533138869775
"0900305910",2010,"21 years and over",15938,777.447104309997
"0900305910",2010,"Total",20334,28
"0900308490",2010,"10 to 17 years",5835,463.332494004036
"0900308490",2010,"10 to 20 years",7564,542.072873329777
"0900308490",2010,"10 years and over",53313,1435.18012806755
"0900308490",2010,"18 to 24 years",4608,471.102961145438
"0900308490",2010,"21 years and over",45749,1328.87132559928
"0900308490",2010,"Total",60466,35
"0900310100",2010,"10 to 17 years",1171,222.274604937226
"0900310100",2010,"10 to 20 years",1342,292.193429084228
"0900310100",2010,"10 years and over",7564,544.686148162407
"0900310100",2010,"18 to 24 years",354,242.633468425112
"0900310100",2010,"21 years and over",6222,459.680323703332
"0900310100",2010,"Total",9103,28
"0900312270",2010,"10 to 17 years",1448,203.369122533388
"0900312270",2010,"10 to 20 years",1779,236.063550765466
"0900312270",2010,"10 years and over",9032,505.304858476544
"0900312270",2010,"18 to 24 years",655,163.107326628818
"0900312270",2010,"21 years and over",7253,446.773992081007
"0900312270",2010,"Total",10037,20
"0900322070",2010,"10 to 17 years",412,113.859562619922
"0900322070",2010,"10 to 20 years",506,219.624679851787
"0900322070",2010,"10 years and over",4346,422.223874265774
"0900322070",2010,"18 to 24 years",192,199.303788222904
"0900322070",2010,"21 years and over",3840,360.607820214704
"0900322070",2010,"Total",5161,113
"0900322630",2010,"10 to 17 years",5571,478.378511223069
"0900322630",2010,"10 to 20 years",7402,555.357542489521
"0900322630",2010,"10 years and over",44218,1330.58746424277
"0900322630",2010,"18 to 24 years",4079,447.098423168769
"0900322630",2010,"21 years and over",36816,1209.14887420863
"0900322630",2010,"Total",50974,38
"0900324800",2010,"10 to 17 years",981,215.538859605409
"0900324800",2010,"10 to 20 years",1333,263.605766249526
"0900324800",2010,"10 years and over",9480,634.283848131103
"0900324800",2010,"18 to 24 years",1017,233.865345872363
"0900324800",2010,"21 years and over",8147,576.912471697397
"0900324800",2010,"Total",10921,32
"0900325990",2010,"10 to 17 years",4332,351.126757738569
"0900325990",2010,"10 to 20 years",5662,416.989208493457
"0900325990",2010,"10 years and over",40009,1158.35270967007
"0900325990",2010,"18 to 24 years",3486,381.937167607448
"0900325990",2010,"21 years and over",34347,1080.69468398804
"0900325990",2010,"Total",44794,29
"0900327600",2010,"10 to 17 years",2978,330.028786623228
"0900327600",2010,"10 to 20 years",3729,372.774730903263
"0900327600",2010,"10 years and over",22271,827.113656035251
"0900327600",2010,"18 to 24 years",1734,267.267656105261
"0900327600",2010,"21 years and over",18542,738.346801984
"0900327600",2010,"Total",25067,23
"0900331240",2010,"10 to 17 years",4568,380.870056580981
"0900331240",2010,"10 to 20 years",5437,411.616326206821
"0900331240",2010,"10 years and over",29779,982.457123746375
"0900331240",2010,"18 to 24 years",1974,271.140185144143
"0900331240",2010,"21 years and over",24342,892.072866978926
"0900331240",2010,"Total",33984,28
"0900332640",2010,"10 to 17 years",1458,232.536018715381
"0900332640",2010,"10 to 20 years",1791,257.511164806499
"0900332640",2010,"10 years and over",9794,558.02777708641
"0900332640",2010,"18 to 24 years",726,179.254009718053
"0900332640",2010,"21 years and over",8003,495.058582392024
"0900332640",2010,"Total",11124,26
"0900337070",2010,"10 to 17 years",16056,831.832915915209
"0900337070",2010,"10 to 20 years",25005,1039.35172102614
"0900337070",2010,"10 years and over",106903,2094.54052240581
"0900337070",2010,"18 to 24 years",17893,901.844776000837
"0900337070",2010,"21 years and over",81898,1818.47408560034
"0900337070",2010,"Total",124760,80
"0900337140",2010,"10 to 17 years",243,45.6946386351835
"0900337140",2010,"10 to 20 years",301,51.9037570894439
"0900337140",2010,"10 years and over",1777,170.46993869888
"0900337140",2010,"18 to 24 years",121,127.047235310336
"0900337140",2010,"21 years and over",1476,162.376106616706
"0900337140",2010,"Total",2009,112
"0900344700",2010,"10 to 17 years",5220,455.899111646426
"0900344700",2010,"10 to 20 years",7253,545.432855629362
"0900344700",2010,"10 years and over",50504,1423.81635051716
"0900344700",2010,"18 to 24 years",5302,510.162719139688
"0900344700",2010,"21 years and over",43251,1315.20188564342
"0900344700",2010,"Total",57650,78
"0900345820",2010,"10 to 17 years",841,170.299735760218
"0900345820",2010,"10 to 20 years",915,247.669134128579
"0900345820",2010,"10 years and over",5443,462.392690253641
"0900345820",2010,"18 to 24 years",219,198.443946745674
"0900345820",2010,"21 years and over",4528,390.470229338934
"0900345820",2010,"Total",6287,22
"0900350440",2010,"10 to 17 years",6212,522.45765378641
"0900350440",2010,"10 to 20 years",10922,723.14867074482
"0900350440",2010,"10 years and over",63029,1658.92856989082
"0900350440",2010,"18 to 24 years",9846,697.025824485722
"0900350440",2010,"21 years and over",52107,1493.0170796076
"0900350440",2010,"Total",72954,37
"0900352140",2010,"10 to 17 years",2856,315.374380696974
"0900352140",2010,"10 to 20 years",3825,377.116692815367
"0900352140",2010,"10 years and over",26985,962.345052462992
"0900352140",2010,"18 to 24 years",2161,325.488863096727
"0900352140",2010,"21 years and over",23160,885.376191231727
"0900352140",2010,"Total",30361,34
"0900360120",2010,"10 to 17 years",1969,343.678628954435
"0900360120",2010,"10 to 20 years",2692,387.831148826393
"0900360120",2010,"10 years and over",15896,807.267613620168
"0900360120",2010,"18 to 24 years",1463,257.650926643007
"0900360120",2010,"21 years and over",13204,708.002824853122
"0900360120",2010,"Total",17625,34
"0900365370",2010,"10 to 17 years",1655,274.767174167512
"0900365370",2010,"10 to 20 years",2075,307.813255075216
"0900365370",2010,"10 years and over",17348,872.258562583366
"0900365370",2010,"18 to 24 years",1236,289.608356233034
"0900365370",2010,"21 years and over",15273,816.140919204521
"0900365370",2010,"Total",19418,32
"0900368940",2010,"10 to 17 years",3593,349.508225940392
"0900368940",2010,"10 to 20 years",4117,368.681434303383
"0900368940",2010,"10 years and over",20489,752.624076149574
"0900368940",2010,"18 to 24 years",1166,207.872557111322
"0900368940",2010,"21 years and over",16372,656.137942813857
"0900368940",2010,"Total",23477,27
"0900370550",2010,"10 to 17 years",4467,349.379449882216
"0900370550",2010,"10 to 20 years",5557,387.747340416411
"0900370550",2010,"10 years and over",37427,1044.06608986213
"0900370550",2010,"18 to 24 years",2704,309.420425957951
"0900370550",2010,"21 years and over",31870,969.394656473822
"0900370550",2010,"Total",42491,26
"0900371390",2010,"10 to 17 years",3314,380.01842060616
"0900371390",2010,"10 to 20 years",4241,430.008139457848
"0900371390",2010,"10 years and over",22504,911.122933527633
